Age,Gender,City,Position ,Total years of experience,Years of experience in Germany,Seniority level,Annual brutto salary (without bonus and stocks) in EUR,Annual bonus + stocks in EUR,Annual Total Salary,One Year ago Brutto Salary,1 Year Ago Bonuses,1 Year Ago Total Salary,Number of vacation days,Company type
29,Male,Milan,Data Scientist,4,0,Middle,60000,6000,66000,60000,6000,66000,27,Product
29,Male,Berlin,Backend Developer,10,5,Senior,60000,25000,85000,60000,17000,77000,30,Product
29,Male,Berlin,Software Engineer,6,4,Lead,90000,20000,110000,85000,20000,105000,25,Product
29,Male,Bonn,Mobile Developer,5,2,Middle,50400,50400,100800,50000,50000,100000,27,Product
29,Male,Munich,SW Architect,8,3,Senior,90000,100000,190000,85000,50000,135000,30,Product
29,Male,Konstanz area,Mobile Developer,6,3,Middle,78000,78000,156000,78000,78000,156000,27,Product
29,Male,Berlin,Software Engineer,9,5,Senior,120000,120000,240000,120000,120000,240000,30,Product
29,Male,Berlin,Designer (UI/UX),6,2,Middle,60000,0,60000,55000,0,55000,28,Product
29,Male,Berlin,Backend Developer,8,2,Senior,79000,5000,84000,67000,0,67000,30,Product
29,Male,Berlin,DevOps,7,3,Senior,85000,5000,90000,100000,0,100000,30,Product
29,Male,Berlin,Frontend Developer,8,5,Head,57000,0,57000,54000,0,54000,21,Product
29,Male,Berlin,DevOps,7,1,Lead,85000,0,85000,80000,0,80000,25,Product
29,Male,Berlin,Frontend Developer,3,3,Middle,70000,0,70000,65000,0,65000,28,Product
29,Male,Munich,Data Scientist,6,5,Middle,78000,0,78000,100000,0,100000,28,Product
29,Male,Berlin,Frontend Developer,5,5,Middle,42000,0,42000,42000,0,42000,28,Product
29,Male,Berlin,Data Engineer,3,3,Middle,69000,0,69000,69000,0,69000,28,Product
29,Male,Munich,Software Engineer,8,6,Middle,72000,0,72000,72000,0,72000,28,Product
29,Male,Berlin,Frontend Developer,8,7,Senior,72000,0,72000,60000,0,60000,30,Product
29,Male,Berlin,Data Scientist,4,4,Senior,90000,0,90000,80000,0,80000,30,Product
29,Male,Munich,Backend Developer,8,4,Senior,130000,0,130000,125000,0,125000,30,Product
29,Male,Karlsruhe,DevOps,6,5,Senior,80000,0,80000,80000,0,80000,30,Product
29,Male,Bonn,Data Scientist,2,2,Middle,81000,0,81000,75000,0,75000,28,Startup
29,Male,Berlin,Software Engineer,5,3,Senior,100000,0,100000,84000,0,84000,30,Startup
29,Male,Darmstadt,Data Scientist,5,2,Middle,85000,3000,88000,80000,0,80000,28,Startup
29,Male,Berlin,Mobile Developer,5,4,Senior,50000,4000,54000,50000,4000,54000,30,Startup
29,Male,Berlin,Software Engineer,8,2,Senior,72000,8000,80000,72500,8000,80500,30,Startup
29,Male,Berlin,Product Manager,5,5,Middle,100000,35000,135000,85000,28500,113500,28,Startup
29,Male,Darmstadt,Data Scientist,5,2,Middle,90000,99000,189000,80000,80000,160000,28,Startup
30,Male,Berlin,Consultant,3,3,Middle,60000,77000,137000,67500,0,67500,28,Bank
30,Male,Utrecht,Data Scientist,2,0,Middle,70000,71000,141000,64000,0,64000,27,Consulting 
30,Male,Berlin,QA Engineer,8,3,Senior,90000,7500,97500,88000,7500,95500,30,Consulting 
30,Male,Berlin,Data Scientist,4.5,2.5,Middle,54000,10000,64000,52000,10000,62000,27,Consulting 
30,Male,Munich,Hardware Engineer,5,5,Senior,85000,10000,95000,88000,10000,98000,30,Consulting 
30,Male,Hamburg,Data Scientist,5,5,Middle,85000,20000,105000,62500,11000,73500,28,Consulting 
30,Male,Frankfurt,Big Data Engineer,3,3,Middle,80000,80000,160000,75000,75000,150000,28,Consulting 
30,Male,Berlin,Mobile Developer,3,2,Senior,68000,0,68000,66000,0,66000,30,Consulting 
30,Male,Munich,Software Engineer,7,5,Senior,66000,6000,72000,58000,6000,64000,30,consumer goods
30,Male,Munich,Mobile Developer,8,2,Lead,45000,0,45000,45000,0,45000,25,Product
30,Male,Kiev,Backend Developer,8,0,Middle,68250,0,68250,65000,0,65000,27,Product
30,Male,Berlin,Software Engineer,7,1,Senior,14712,0,14712,14712,0,14712,30,Product
30,Male,Berlin,DevOps,7,1,Senior,55200,0,55200,50000,0,50000,30,Product
30,Male,Berlin,Backend Developer,6,2,Senior,65000,0,65000,65000,0,65000,30,Product
30,Male,Berlin,Software Engineer,10,2,Middle,77000,500,77500,71000,0,71000,28,Product
30,Male,Berlin,Backend Developer,9,5,Senior,71000,5000,76000,66000,0,66000,30,Product
